numeroCirconscription,nomCirconscription,nbBureauComplete,nbBureauTotal,nbVoteValide,nbVoteRejete,nbVoteExerce,nbElecteurInscrit,tauxVoteValide,tauxVoteRejete,tauxParticipation,numeroCandidat,nomCandidat,prenomCandidat,numeroPartiPolitique,abreviationPartiPolitique,nbVoteTotal,tauxVote,nbVoteAvance
300,Verdun,162,162,31093,303,31396,48658,99.03,0.97,64.52,2620,Pellerin,Jannie,10,P.V.Q./G.P.Q.,542,1.74,0
300,Verdun,162,162,31093,303,31396,48658,99.03,0.97,64.52,2792,Kilbride,Scott,99263,P.C.Q./C.P.Q,301,0.97,0
300,Verdun,162,162,31093,303,31396,48658,99.03,0.97,64.52,3048,Milette,Marc-André,23,P.N.,65,0.21,0
300,Verdun,162,162,31093,303,31396,48658,99.03,0.97,64.52,2940,Desmarais,Alexandre,99237,C.Q.,61,0.2,0
300,Verdun,162,162,31093,303,31396,48658,99.03,0.97,64.52,2709,Deschamps,Fernand,7,P.M.L.Q.,30,0.1,0
300,Verdun,162,162,31093,303,31396,48658,99.03,0.97,64.52,3054,Rioux,Alain,99293,A.F.C.,26,0.08,0
358,Viau,132,132,21082,466,21548,39883,97.84,2.16,54.03,2691,Benjamin,Frantz,6,P.L.Q./Q.L.P.,8049,38.18,1631
358,Viau,132,132,21082,466,21548,39883,97.84,2.16,54.03,2494,Belinga,Renée-Chantal,40,Q.S.,6418,30.44,0
358,Viau,132,132,21082,466,21548,39883,97.84,2.16,54.03,2366,Savard,Justine,27,C.A.Q.-E.F.L.,3201,15.18,0
358,Viau,132,132,21082,466,21548,39883,97.84,2.16,54.03,2687,Lecompte,Marc-Antoine,8,P.Q.,1598,7.58,0
358,Viau,132,132,21082,466,21548,39883,97.84,2.16,54.03,2667,Tembel,Alex,22,P.C.Q-E.E.D.,1294,6.14,0
358,Viau,132,132,21082,466,21548,39883,97.84,2.16,54.03,2902,Chaouche,Manel,10,P.V.Q./G.P.Q.,342,1.62,0
358,Viau,132,132,21082,466,21548,39883,97.84,2.16,54.03,3058,Réjouis,Marc II,99285,B.M.-E.B.H.,100,0.47,0
358,Viau,132,132,21082,466,21548,39883,97.84,2.16,54.03,2920,Ricard,Serge,99237,C.Q.,80,0.38,0
476,Vimont,153,153,31965,349,32314,46185,98.92,1.08,69.97,2367,Schmaltz,Valérie,27,C.A.Q.-E.F.L.,10957,34.28,1416
476,Vimont,153,153,31965,349,32314,46185,98.92,1.08,69.97,2558,Monteiro,Anabela,6,P.L.Q./Q.L.P.,9541,29.85,0
476,Vimont,153,153,31965,349,32314,46185,98.92,1.08,69.97,2344,Piscitelli,Stefano,22,P.C.Q-E.E.D.,4118,12.88,0
476,Vimont,153,153,31965,349,32314,46185,98.92,1.08,69.97,2361,Bélanger,Josée,40,Q.S.,3669,11.48,0
476,Vimont,153,153,31965,349,32314,46185,98.92,1.08,69.97,2951,Lavigne,Nathalie,8,P.Q.,3379,10.57,0
476,Vimont,153,153,31965,349,32314,46185,98.92,1.08,69.97,2554,Lo Cicero,Rita,10,P.V.Q./G.P.Q.,301,0.94,0
332,Westmount-Saint-Louis,178,178,20952,155,21107,46919,99.27,0.73,44.99,2523,Maccarone,Jennifer,6,P.L.Q./Q.L.P.,10576,50.48,7889
332,Westmount-Saint-Louis,178,178,20952,155,21107,46919,99.27,0.73,44.99,2849,Touchette,David,40,Q.S.,2687,12.82,0
332,Westmount-Saint-Louis,178,178,20952,155,21107,46919,99.27,0.73,44.99,2291,Torres-Piaggio,Maria-Luisa,27,C.A.Q.-E.F.L.,2112,10.08,0
332,Westmount-Saint-Louis,178,178,20952,155,21107,46919,99.27,0.73,44.99,2980,Rossokhata,Katya,22,P.C.Q-E.E.D.,1930,9.21,0
332,Westmount-Saint-Louis,178,178,20952,155,21107,46919,99.27,0.73,44.99,2961,Racicot,Florence,8,P.Q.,1267,6.05,0
332,Westmount-Saint-Louis,178,178,20952,155,21107,46919,99.27,0.73,44.99,2861,Standish,Colin,99263,P.C.Q./C.P.Q,1029,4.91,0
332,Westmount-Saint-Louis,178,178,20952,155,21107,46919,99.27,0.73,44.99,3005,Small,Heidi,99285,B.M.-E.B.H.,735,3.51,0
332,Westmount-Saint-Louis,178,178,20952,155,21107,46919,99.27,0.73,44.99,2812,Kuhn,Sam,10,P.V.Q./G.P.Q.,616,2.94,0
